4.2926,32.5352,-9.90095
3.45973,-12.881,17.4246
1.84954,-2.67339,-0.942499
-6.19181,1.04545,2.29689
-6.38195,-0.357022,-2.03884
-6.42988,-0.265433,-1.86485
-5.92198,-0.701676,0.924489
-4.21879,-3.12698,3.78597
2.21423,4.25518,12.8572
4.72841,2.61456,2.78033
-3.66836,-3.09436,6.47708
3.9413,8.32577,4.62756
3.91067,8.92858,7.67254
-23.3363,246.915,-102.253
-6.27725,1.69189,2.11755
5.19456,-1.48445,8.8812
4.79538,1.97315,11.1363
7.01995,0.243891,0.577129
-10.7242,2.64237,0.319839
-11.6862,3.55672,-1.01315
7.92356,-3.16583,-1.03285
